"id","MeetingName","MeetingDate","Audience","Staff","Notes","Createdby"
25,"Alzheimers&Copingw/Caregiving",11/10/2004 0:00:00,5,"Glenice Winn","Spoke to caregivers on how to deal with paitents with alzheimers, gave information on dealing with their stress as well.",22
27,"How to Mange Stress and Avoid self medication",11/18/2004 0:00:00,11,"Glenice Winn","Discuss ways to cope with stress in your life, ways to relieve stress, gave test and handouts.",22
28,"Coping with Holiday Stress",12/1/2004 0:00:00,12,"Glenice Winn","discuss how to cope with holiday stress and deal with taking care of a love one who is ill or depress, sing a long and refreshments served.







",22
29,"Winter Comforts",12/2/2004 0:00:00,10,"Glenice Winn","Presentation was on the effects that drinking has on the elderly and the dangers of mixing drugs and alcohol.",22
30,"Coping with Holiday Stress",12/8/2004 0:00:00,23,"Glenice Winn","Discuss coping with holiday stress hand out pamplets and evaulation, lunch was served, and entertainment was provided.",22
31,"Winter Comforts",12/15/2004 0:00:00,9,"Glenice Winn","Presentation was on the effects that drinking has on the elderly, and the dangers of mixing drugs and alcohol.",22
32,"Stress Management for the holidays",12/16/2004 0:00:00,150,"Glenice Winn","Presentation was on dealing with the stress of the holidays and how to avoid alcohol and drugs when celebrating.",22
33,"Winter Comforts",1/10/2005 0:00:00,8,"Glenice Winn","discuss the effects that alcohol has on the elderly,and the dangers of mixing drugs and alcohol.",22
34,"Using Medications Wisely",1/18/2005 0:00:00,30,"Glenice Winn","Information was given on how to avoid mixing medications and alcohol, and to inform Dr. of when you are taking over the counter medicine before he prescribes medicine.",22
35,"What is a Navigator",1/20/2005 0:00:00,12,"Chamesha Randall","I Chamesha went to the Naacp family tech center to tell new clients about what services I can provide to them and passed out cards and pamplets to the new clients",36
36,"Bac Students/Hartman Middle School",1/19/2005 0:00:00,7,"Ms. Mcfarlin-Willie, Ms. Grier","Site office was closed for half of the day, so I went to Hartman Middle School and sit in Bac class with students. Observation: Quiet day, every thing went well, talked to students and encourage them to do better, pleasant day overall. They enjoyed me and I enjoyed them, told them I will return one day.",17
37,"Chip Inf.Inservice",1/20/2005 0:00:00,10,"Ana Muniz& Rossie Miller","7 people show to inservice.",6
38,"Richey Elementary School",1/19/2005 0:00:00,12,"Ana Muniz, Rosie Miller","Educated parents on the importance of having a health home. handed out Texcare and gold card HCHD applications.",9
39,"ESPN(United Way)",1/27/2005 0:00:00,125,"Glenice Winn","Presentation was on the dangers of mixing drugs and alcohol in the elderly. Ms. Pat Pullins was one of the guest speakers, I assisted her with passing out packages and information.",22
40,"Immunizations",1/26/2005 0:00:00,7,"Michelle Torres","Importance of immunizations.",38
41,"Immunizations",1/26/2005 0:00:00,9,"Michelle Torres","Importance of immunizing children on time.  Passed out health information regarding the dangers of not being up to date with childhood immunizations. (Second meeting)",38
42,"Improving the neighborhood",2/3/2005 0:00:00,8,"Lisa Harris, Ella Mae Price","Visit Kid's for the Future Daycare, owner Ms. Lisa Harris. Talked to Ms. Harris about her neighborhood stated that there is a need for improving such as street sidewalks, pick up garbage, abonded homes, she very much interest in starting a neighborhood watch, told her I would help her. Ms. Harris is also referring me to represent Ameri-Corp Organization to upcoming Church workshops in her area, and asked that I refer her to clients that are in need of daycare assistance she is now on childcare/ neighborhood.",17
43,"NCI Parent Meeting Educational Services",1/27/2005 0:00:00,15,"Christy Williams, Rosemary Sureles, Lupe Hernandez","spoke about Gateway To Care, What type of services we offer. Passed out flyers and business cards",40
45,"HCHD Discounted Services",1/12/2005 0:00:00,5,"Rebecca Rivera","Spoke to new becoming patients about Hchd discounted services. Answered questions about complications their patients come across.",49
49,"Annual Community Health and Prevention Fair",1/29/2005 0:00:00,30,"Keturah Campbell Ana Huezo Yanett Hodgson","AmeriCorps members provided information on the various medical, social and family needs avaliable.",26
50,"Fiest CHIP Drive",2/5/2005 0:00:00,16,"Keturah  Samara Claudia Barbara Alma Wanda","AmeriCorps member along with an representative from Amerigroup, assisted in enrolling and informing the public about CHIP.",26
51,"CHIP DRIVE AT FIESTA",2/5/2005 0:00:00,45,"ANA H. & REBECA","WE GAVE APPLICATIONS. PUBLIC WERE MOSTLY HISPANICS.",31
52,"Vial Of Life Presentation/Bethany Christian Church",2/14/2005 0:00:00,55,"Lupe Hernandez/Mary Manning","Presentation was spoken on the Vial of Life. Information given out was on Climbing Up From Depression, What Everyone Should Kow About Stress,Senior/Caregiver Health Promotion Program (eng/span), America's Senior Health Record, 50 Things Every Caregiver Should Known (eng/span), and Evaluation Forms.  ",52
53,"Immunization Awareness",2/16/2005 0:00:00,7,"Michelle Torres","Translating to spanish speaking clients the importance of getting their children immunized.  Mostly speaking to the clients about becoming current and remaining current.  The importance of keeping up with their children's immunization recoed, and having a health home established, and explaining that by moving around so much causes the children to have received immunizations that they may have already been given more than once.",38
55,"Women's health & Navigator services",2/18/2005 0:00:00,16,"Chamesha Randall & Domineke Kyle","Talked about women's health a prevention of diseases and also what service the navigators around houston & surrounding areas provide",36
56,"Community safety health care event.",2/26/2005 0:00:00,25,"Ana Huezo","I attend the health fair representing the Spring Branch C.H.C. at the same time Americorps.I made 7 contacts.",31
57,"CHILD SAFETY SEAT",3/2/2005 0:00:00,16,"ANA HUEZO & YANETT HODGSON","I INVITE MR. MANUEL PLATERO FROM PRO SALUD. HE GAVE A DEMONSTRATION HOW TO INSTALL PROPERLY A CAR SEAT.",31
58,"Care Group",3/11/2005 0:00:00,0,"","",17
59,"Care Group",3/11/2005 0:00:00,6,"Tony & Bridget Jones","Tony and Bridget Jones are the Team Leaders for Care Group at the Oaks of Charleston Apts. They have came up ideas such as; organizing little league football team for the youth, Bible study once a month and other activties. While there I told them about all the products that Gateway to Care has to offer, and we also discuss about some up coming events that I will need some help of my fellow (Gators) assistance. I told him that I would be glad to assit him with planning the monthly calendar, and will be glad to educate on any topic he feels is need for the Oaks of Charleston Community. Tony said, that I was a ''God sent and that he looks foward to working with me in the future.",17
60,"Discount Card",1/24/2005 0:00:00,89,"Juan Gonzalez; Erika Sosa","The presentations were all about HCHD's Discounted Services. They were split up into 4 different periods at E.L. Furr High Scool, 520 Mercury Dr.",42
61,"The Effects of Alcohol & Drug Abuse",12/1/2004 0:00:00,14,"Juan Gonzalez; Rachel Gonzalez","The presentation was mainly for Magnolia MultiService Center's Gulf Coast GED Classes. Ages 19-70",42
62,"Americorps Services",3/10/2005 0:00:00,63,"Juan Gonzalez; Noemi Valdez; Erika Sosa","A lot of helpful information that the community of Denver Harbor, Lil Red that wasn't familiar was distributed to grades Pre-K through 5th grade.",42
64,"Health Fair",3/12/2005 0:00:00,0,"","Veronica Ruiz, Leola Coats, Glennice Winn, Rachel Gonzales, Alma Tamez",28
65,"Educational",3/16/2005 0:00:00,22,"Yanett Hodgson","I made a presentation about car seat.The participants was very interested.",48
66,"AmeriCorps Services/Health Fair",3/16/2005 0:00:00,55,"Juan Gonzalez; Erika Sosa","The Health Fair was held at Eliot Elementary sponsored by Ms. Guerra. There were many parents happy because of the fact that Ask Your Nurse Provides questions asked for free.",42
67,"Senior Companions",3/18/2005 0:00:00,60,"Glenice Winn","Passed out flyers at meeting that was held at Luby's Cafeteria on S.Post Oak. ",22
68,"Houseman School Carnival",3/19/2005 0:00:00,6,"Ana Huezo","I offer my services at the clinic and pass flyers.",31
69,"""What are my options""",3/23/2005 0:00:00,9,"KETURAH CAMPBELL","I DID A PRESENTATION TO A GROUP OF 8 GIRLS AND 1 ADULT AT THE BOYS AND GIRLS HARBOR IN LAPORTE, TX.  THE PRESENTATION WAS ABOUT INFORMIG THE AUDIENCE ABOUT WHAT MEDICAL SERVICES WERE AVALIABLE TO THEM.",26
72,"HEALTH FAIR ",4/7/2005 0:00:00,1000,"DOMINEKE KYLE AND CLAUDIA LANE","ME AND CLAUDIA REPRESENTED OUR INDIVIDUAL SITES AS WELL AS THE AMERICORPS PROGRAM WE SPOKE WITH AT LEAST A HUNDRED PEOPLE.",16
73,"Health Kids day",4/2/2005 0:00:00,300,"christy","informed them of our services passed out cards and flyers",40
74,"health fair ",4/9/2005 0:00:00,200,"christy","passed out flyers and cards and told about our services",40
75,"Sherwood Health Fair",4/13/2005 0:00:00,20,"Ana Huezo","I distributed
 flyers from the  Spring Branch Community Health Center and information about my services in the clinic. ",31
76," Preventing Child Abuse and Crime Event",4/16/2005 0:00:00,42,"Yanette Hodgson","The event was held at Burnnett Bayland Park on saturday 4/16/2005. Yanette and I spoke to people about HCHD services like the discount card, we also informed people about CHIP.  ",49
77,"S.Richey Elem.Health Fair",4/9/2005 0:00:00,400,"Ana Muniz & Erika Sosa","",6
78,"Breast Summit Meeting",4/8/2005 0:00:00,0,"Ana Muniz","",6
79,"OB TOUR BEN TAUB.",4/20/2005 0:00:00,15,"Ana Huezo","I worked with this moms:calling them and trying to motivated them to participate in the OB. tour,but from these 15 ladies only 5 went to the tour.",31
80,"Food Bank Survey",4/23/2005 0:00:00,10,"Glenice Winn","Reported to the Houston Food Bank on Saturday morning and met with Ms.Nettie Miller, went to Food Bank at Gateway Church in Spring and conducted surveys with 10 people who came to get assistance.",22
81,"Health Fair Young Elem. School",4/26/2005 0:00:00,100,"Ana Muniz","",6
82,"Health Insurance information",4/8/2005 0:00:00,11,"Yanett Hodgson","Peolpe was very interested They set many question.",48
83,"Diabetes",4/20/2005 0:00:00,13,"Yanett h","",48
84,"Diabetes",3/20/2005 0:00:00,13,"Yanett Hodgson","Audiencia was so interested and participative.",48
85,"Health fair ",4/3/2005 0:00:00,41,"Yanett Hodgson","A lot people loking por information and they want to apply at  the differents programs thet harris county have.",48
86,"Cholesterol",4/26/2005 0:00:00,22,"Raquel Gonzales/Yanett Hodgson","Was good people want more information about different health topic.",48
87,"Car seat",4/4/2005 0:00:00,16,"Yanett Hodgson","Was fine people intersted and participative.",48
88,"Feeding the Hungry at Harmony House",4/30/2005 0:00:00,150,"Ana Huezo  Dana Young  Leola Coates Jo Ann Haywood","We setup, prepared food, served, cleanup, and talhed to some abuot  where to go to get healthcare",37
89,"NATIONAL ALCOHOL SCREENING DAY",4/28/2005 0:00:00,24,"JUAN GONZALEZ, ERIKA SOSA, NOEMI VALDEZ.","IT WAS THE FIRST TIME THAT I EDUCATE PEOLPE ABOUT ALCOHOL WITH A TOUCH OF FUN, PEOPLE LIKEED THE PROGRAM.",53
90,"Dia del Nino",4/30/2005 0:00:00,45,"Juan Gonzalez, Erika Sosa, Rachel Gonzales","This event was a Health Fair at Magnolia Multi-Service Center that was dedicated to the children of the community. It was called Dia del Nino-Day of Child.",42
91,"MEDICAL INSURANCE OPTIONS",3/1/2005 0:00:00,9,"KETURAH CAMPBELL","AT THE BOYS AND GIRLS HARBOR I GAVE A PRESENTATION ON THE HEALTH COVERAGE OPTIONS AVALIABLE TO CHILDREN AGING OUT OF FOSTER CARE.  I ALSO TOLD THEM ABOUT THE HEALTH CARE SERVICES AVALIABLE TO THEM.",26
92,"Crawford  Elementary School",4/26/2005 0:00:00,354,"Claudia Lane_ Samara Kyle _  Domineke Kyle","    We attend Crawford Elementary School health fair which was very nice. ",18
93,"Creek Bend Garden Senior",4/6/2005 0:00:00,20,"Claudia Lane and  Leola Coats","     This audience was sonier some of the people were still in bed or gone to work.We spoke on an educational presentations.",18
95,"Clifton Middle School",5/3/2005 0:00:00,225,"Claudia Lane_ Samara Kyle _  Domine","      We went to a health fair at Clifton Middle School.",18
96,"Draw Academy Health Fair",4/23/2005 0:00:00,40,"Rachel Gonzales, Yanett Hodgson, Tamiko Brown, ","This Service was in a Charter School, we did the discount  card application and helped clients fill out the form and inform the clients what to take. We also did medicaid forms and CHIP.",29
97,"Mano A Mano Health Fair",5/22/2005 0:00:00,1500,"Claudia Lane    with   San Jose Clinic","The health fair was held on the Houston Community South Eastside campus and targeted the Hispanic community. I was only passing thorough to give
support to my navigation team after church.I was able to visit some booths and obtain spanish/english material for my resource file. My current site has a high volunme of hispanic vistors. By all indications the health fair faired to be a success. End of report.",18
101,"Chloresterol ",5/17/2005 0:00:00,20,"Veronica Ruiz, Rachel Gonzales, and Yanette Hutson","We went to do a educational presentation to a group of students at 
Gulf Coast on 5/17/2005.",28
103,"Diabetes and hypertension  Class",5/19/2005 0:00:00,10,"Janie Alvarado","We held a class here in the clinic on Thurs May 19. It was six diabetics some with high blood pressure. Five of the diabetics came with their wife or husband. Everyone got educated specially the wives because they need to know what to cook for their diabetic husbands. We had actual food samples of what they could buy at the store, light foods, artificial sweetner drinks and condiments, fruits, vegetables....
We informed them of how important it is to take care of their skin and entire body. We gave them the packet we had been working on for a couple weeks. In it was the food/ meal plan schedule and exercise plan. the whole class was actually fun and most of all supportive because there was one patient that had been having trouble actually eating and had fallen into a deep depression after his diagnosis. Everyone showed their support by letting him know that all of them were going through it and what keeps them going is their family. At the end of the class everyone recieved a certificate. ",49
104,"Discount Card Signup",5/14/2005 0:00:00,11,"Jo Ann Haywood","Gave brief summary about how the discount card works and assisted the clients with the applications",37
105,"Discount Card",5/15/2005 0:00:00,6,"Jo Ann Haywood","Brief Summary of how the discount card works and locations of sites. Assisted with the filling out of applications.

Antioch Missionary Baptist Church",37
106,"Prevent Blindness",5/28/2005 0:00:00,31,"Jo Ann Haywood & Leola Coates","Prevent Blindness America did Visual Fields, Risk Factors and Visual Acuity Screening, also tested for glaucoma.  Gave results and recommendations",37
107,"Feeding the Homeless",5/28/2005 0:00:00,225,"Jo Ann Haywood & Leola Coates","Prepared and feed homeless in Houston. This is at the end of each month",37
108,"United Way Networking Meeting",5/12/2005 0:00:00,350,"10","The purpose of this meeting was for agencies to find and use one another
as a resource referral. Meeting are held once a month with different subject matters. THis month subject was regarding summer programs and 
activities. Five panel guest highlighted their programs. A particular
agenda item I thought was beneficail was the problem solving session.
A representative takes the mike a outlines the problem that is going on
a their job/site and a resolution is sort from other agencies in the
attendance. Of course no names are used. Also, new comers are invited to
the mike to introduce themselves and their title. There is also a time set aside for individual networking. End of report.",47
110,"Neighbor Center Inc Health Fair",5/17/2005 0:00:00,180,"7","The health fair centered around a train station theme. Consumers, clients and guest were able to listen to speakers in one area, tested in another area and vist various booth on another floor. Navigators had a booth set-up in front of the office whereas vistors could learn about navigation services prior to visiting the various booth. A sign-in sheet was available for vistors to sign in. The fair was really organized and allow an opportunity for navigators to network as well as obtain resource
for their file. End of report.",47
111," Elegibility Assistance",6/8/2005 0:00:00,20,"Ana Huezo","There were 20 people. 17 Aplied for the Disc/Card. And a Educacional Presentation about Early Detection and Prevention,(Cholesterol).",31
112,"Health Fair & Carnival at JBC",6/11/2005 0:00:00,20,"ANA HUEZO & YANETT HODGSON","We gave information about Ask your Nurse, Together Rx Access and Disc. Card.",31
113,"OB TOUR BEN TAUB.",6/13/2005 0:00:00,22,"Ana Huezo","I called an invite them to the Tour for june 22, 2005.",31
114,"Health Fair",6/18/2005 0:00:00,60,"Demetria Turner","Attended Health Fair at Houston School of Morals and Ethics with other members helping : Kina, Samaria,Glenice,Sonia assisted me with handing out flyers and Gold Card App. we got 25 to 30 signatures.",25
116,"Carverdale Community Day ",6/18/2005 0:00:00,50,"Ana Huezo","I gave information about SBCHC, Disc/Card Medicaid etc.",31
117,"Harmony House Monthly Feeding the Homeless",6/25/2005 0:00:00,160,"4","We served 160 homeless men, women and children. DOnations of cke and potato salad was by AmeriCorp Members.
The hours served were 6hrs. Time from 10am to 4pm.
Members serving were- Ana Huezo, Valerie McFarland, Leola Coats and Jo Ann Haywood",37
118," Elegibility Assistance Disc. Card",7/6/2005 0:00:00,22,"Ana Huezo"," A Health Educator talked to the public about Cholesterol,Diabetes and Dental Higiene. They were screened for the Disc. Card.",31
119,"Cornerstone Hospital Health Fair",6/25/2005 0:00:00,75,"DYoung  CWilliams  RGonzales  VRuiz  RRivera","This was a health fair at the Cornerstone Hospital that Mrs. Cookston invited Gateway to Care to take part in. ",39
120,"Health Fair JAne Long Middle school",3/12/2005 0:00:00,10,"","give application about discount card, Chip/Medicaid and different resources",48
121,"Diabetic Presentation",3/14/2005 0:00:00,17,"Yanett Hodgson","people was very participative they ask many question.",48
122,"Health Fair",3/19/2005 0:00:00,30,"Yanett Hodgson","This Was on ford Bent only give information about diferent clinc.",48
123,"Cholesterol presentation",3/23/2005 0:00:00,20,"Yanett Hodgson","Was a presentation on YMCA people was so interested.",48
124,"Oral Health ",3/30/2005 0:00:00,10,"Yanett Hodgson","Was apresentation on Braeburn Elementary School. It was fine.",48
125,"Chip/medicaid/Discount card presentation",4/13/2005 0:00:00,15,"Yanett Hodgson","people was very interested about the topic.they did many question.",48
126,"Cholesterol Presentation",4/14/2005 0:00:00,9,"Yanett Hodgson","People was interested.",48
127,"Health fair Santa Maria Virgen",4/2/2005 0:00:00,20,"yanett Hodgson","Application D.C, Chip/Medicaid.Flyer ask your nurse.",48
128,"Health fair Baytown",5/15/2005 0:00:00,20,"Yanett Hodgson","flyer ask your nurse, information about diferent clinic.",48
129,"Health fair ",5/14/2005 0:00:00,10,"Yanett hodgson","Give application Chip, gold card,ask your nurse , gateway to care.",48
130,"Diabetic Presentation",5/9/2005 0:00:00,11,"Yanett Hodgson","People  interested many question.",48
131,"DIAbetic Presentation",6/14/2005 0:00:00,17,"Yanett Hodgson","people interested about the topic.",48
132,"Diabetes presentation",6/9/2005 0:00:00,15,"Yanett Hodgson","THis presentation was in the bridge #1 people was participative.",48
133,"Health insurance information",6/16/2005 0:00:00,15,"Yanett Hodgson","Give application Chip/Medicaid,D.C.",48
134,"Cholesterol Presentation",6/28/2005 0:00:00,12,"Yanett Hodgson","was a participative presentation.",48
135,"Health insurance presntation",6/29/2005 0:00:00,15,"yanett Hodgson","this presentation was in de madre a madre. People so interested and give to they application and diferent resources.",48
136,"Diabetic Presentation",7/5/2005 0:00:00,16,"Yanett hodgson","Westberry apartment this presentation was so parrtidipative people was interested in the topic.",48
137,"Health insurance presentation",7/7/2005 0:00:00,10,"yanett hodgson","Talked about diferent health insurance and give application.",48
138,"Health insurance Presentation",7/9/2005 0:00:00,7,"Yanett Hodgson","Give information and application.",48
139,"Diabetic presentation",7/9/2005 0:00:00,10,"Yanett Hodgson","This topic is interesting and people ask many question.",48
140,"Nurses Week Health Awarness",7/2/2005 0:00:00,664,"Jo Ann Haywood and Dana Young","Place- Southwest Community Bapist Church
Board of Nurses gave Health Fair
We offered assistant with completing application for Discount Cards for low income families for those without health insurance.
Blood Pressure and check for diabetices were offered",37
141,"CIS Parent Meeting",3/18/2005 0:00:00,12,"Ana Huezo","I gave information about SBCHC and my services at the clinic.",31
142,"St. Cecilia Unity Day",1/30/2005 0:00:00,30,"Ana Huezo","I gave information about SBCHC and CHIP, Medicaid.",31
143,"Westwood Elem. Health Fair",2/8/2005 0:00:00,50,"Ana Huezo","Information about CHIP, Medicaid.",31
145,"Americorp",1/11/2005 0:00:00,20,"Veronica Ruiz, Rachel Gonzales","Talked about Americorps duties",28
146,"Casa de Amigos Health Fair",12/3/2004 0:00:00,0,"Nubia Giron, Veronica Ruiz, Rachel Gonzales","This was a health fair in the Casa de Amigos",28
147,"Chip /Medicaid Inf.",7/19/2005 0:00:00,8,"1","@ UTMB Prenatal Classes,Topic today ,CHIP/ MEDICAID. by Gateway to Care Staff.",6
148,"AmeriCorps/GED Class 04",12/7/2004 0:00:00,14,"Juan Gonzalez; Rachel Gonzales","On how education is so important.
Gulf Coast GED Classes",42
149,"Voz de Salvacion health Fair",1/29/2005 0:00:00,50,"Veronica,Rachel, Tamiko, Nubia","Went to a health fair taht was in  a church. Helped people know about the discount card and other useful resources.",28
150,"Goodwill",11/2/2004 0:00:00,22,"Lupe Garza; Amanda Robinson","Goodwill was having a Health Fair. Amanda and I were there to help people get discount cards, Mediciaid, Food Stamps, etc. Mostly we helped people with discount cards. Most of everyone had one, but they only needed to renew it. While I made copies of their information Amanda helped them fill out the discount card applications. She also typed tghe information that she needed so she can make appts. for those who needed it.",41
151,"Health Fair-Northside",7/16/2005 0:00:00,40,"Ana Huezo & Veronica Ruiz","Information about Secon Hand Smoke.",31
152,"Bilingual Parents Autistic Support Group.",7/21/2005 0:00:00,20,"5","Person from Lone Star Legal Aid organization discussed about legal rights for children with autism .and Police oficer talked about how to handle austistic children in crisis.",6
153,"Health fair People's Health Center",7/24/2005 0:00:00,30,"Ana Huezo","I gave information about my services in SBCHC.",31
154,"Vacation Bible School",7/23/2005 0:00:00,150,"Jo Ann Haywood","Talked with the uninsured  elderly about Health Care and SSI and SSD
Assisted with applications with Discount Cards",37
155,"BETHELS FAMILY HEALTH FAIR",7/30/2005 0:00:00,100,"DOMINEKE KYLE, SAMARA KYLE, CLAUDIA LANE","WE ATTENDED A BACK TO SCHOOL HEALTH FAIR AT BETHELS FAMILY CHURCH. WHERE WE PRESENTED HEALTH INSURANCE, AMERICORP, AND A WHOLE LOT OF OTHER STUFF.",16
156,"Almeda Mall",7/30/2005 0:00:00,350,"DyoungKmillerMmanningRsurlesKcampbellCmosqueda","",39
157,"CHIPS Blitz Health Fair",8/6/2005 0:00:00,150,"Valerie Mcfarlin,Joaqunia Miller","Talked to Clients about CHIPS insurance, Harris County Benefits, and any issue that were concerned about.",17
158,"Back to School Health Festival",8/6/2005 0:00:00,1500,"Lupe Garza","On Saturday there was a health fair for kids from k-12th grade to get free school supplies. I was in the school supply section distrubting out school supplies. We gave out 1500 school supplies this year. We have never been able to give out this many before in the 4 years that I have been doing it. The kids faces were priceless.",41
159,"Burnett Elem.School Health Fair",9/10/2005 0:00:00,150,"Ana muniz ","back to school health fair.",6
160,"Utmb Prenatal Classes",9/20/2005 0:00:00,9,"Ana muniz "," Topic: Chip/medicaid ",6
161,"Medicare Part D",11/4/2005 0:00:00,150,"","This meeting will be at Ocean Palace host by VN TeamWork.
 For: To explain about  Medicaire Part D. 
 ",60
162,"Meet Your Navigator",11/21/2005 0:00:00,35,"None AmeriCorps/5-From AmeriCorps Bayou Literacy","Great Presentations for information the Literacce group,explaning what a Navigaator is and what our mission statement and duties are for the community. Quesstion and answer session followed. I then returned to training at Northside. Sent stats into main office",79
163,"What is a Navigator",11/23/2005 0:00:00,40,"Marcenia Grace","I spoke to a group of seniors at 3000 jensen(prince gym).this was my first presentation. a roll was taken and turned in.",64
164,"Gold Card Information",11/30/2005 0:00:00,45,"Marcenia Grace","GC appts were passed out and info given on how to apply and get discounted services",64
165,"The Importance of FLU Shots",1/4/2006 0:00:00,25,"Marcenia Grace","i will attend the prince gym to see how many seniors have and how many seniors would like to take the shot before its too late.i will also give important details for the vaccine.(mg)",64
166,"Presentation",1/23/2006 0:00:00,12,"my site supervisor Dottie","I did a presentation at my site (Tomagwa) on high blood pressure, this project was due by 1/26/2006 for the blue group for kathy.",63
167,"Lung Cancer",1/5/2006 0:00:00,13,"Kathi McNamara","Gave presentation In Lung Cancer to the green group",78
168,"Amigos Por Vida School",1/25/2006 0:00:00,20,"1","Americorp Navigator spoke about the importance of having a health home. Spoke about resources ( clinics ). ",9
171,"Senior Project",2/4/2006 0:00:00,140,"Vanessa McNeil","Vanessa and I assisted A.C.T.I.O.N Collaborative with glucose and blood pressure screening.",63
174,"Career Day",3/31/2005 0:00:00,1200,"marcenia grace, tameka combs, sabrina marshall"," oak village will have career day and americorp is invited to tell the children about the program and gateway to care.",64
175,"importance of immunizations",3/7/2006 0:00:00,75,"marcenia grace, tameka combs, ","thurgood marshall magnet school principal would like me and tameka to come back and talk to the kids parents about immunizations.",64
